content,index
泻白散的证治机理是什么,泻白散的证治机理是：本方主治肺有伏火郁热之证。肺主气，宜清肃下降伏火郁肺，则气逆不降而为喘咳；肺合皮毛，肺中伏火外蒸于皮毛，故皮肤蒸热；肺金旺于酉时，伏火渐伤阴分，故身热日晡尤甚，其特点是轻按觉热，久按若无，与阳明之蒸蒸发热、愈按愈盛者有别；舌红苔黄，脉象细数，是热邪渐伤阴分之候。钱氏据小儿“稚阴”之体及肺为娇脏、不耐寒热之性，对肺有伏火之证，避苦寒凉遏，宜清泻肺中伏火之法。
泻白散的方解是什么,泻白散的方解是：方中桑白皮甘寒性降，专入肺经，善清肺热，泻肺气，平喘咳，故以为君。地骨皮甘寒入肺，可助君药清降肺中伏火，为臣药。君臣相合，清泻肺热，以使金清气肃。炙甘草、粳米养胃和中，培土生金，以扶肺气，兼调药性，共为佐使。四药合用，共奏泻肺清热、止咳平喘之功。
泻白散的配伍特点是什么,泻白散的配伍特点是：甘寒清降，泻中寓补，培土生金。
泻白散的运用特点是什么,泻白散的运用特点是：本方为治疗肺有伏火、郁热喘咳之常用方。以咳喘气急，皮肤蒸热，舌红苔黄，脉细数为辨证要点。
泻白散的附方有什么,"1.葶苈大枣泻肺汤（《金匮要略》）：葶苈子（熬令色黄，捣丸如弹子大（9g））、大枣十二枚（4枚）。上先以水三升，煮枣取二升，去枣，内葶苈，煮取一升，顿服。功用：泻肺行水，下气平喘。主治：痰水壅实之
咳喘胸满。
2.黄芩泻白散（《症因脉治》）：黄芩10g、桑白皮、地骨皮各15g、甘草5g（原著本方无用量）水煎服。功用：清泻肺热。主治：肺经有热。症见喘咳面肿，气逆胸满，小便不利。
"
葶苈大枣泻肺汤的煎服法是什么,葶苈大枣泻肺汤的煎服法是：药物先以水三升，煮枣取二升，去枣，内葶苈，煮取一升，顿服。
葶苈大枣泻肺汤的组成有哪些药物,葶苈大枣泻肺汤的组成有：葶苈子（熬令色黄，捣丸如弹子大（9g））、大枣十二枚（4枚）。
葶苈大枣泻肺汤的功用是什么,葶苈大枣泻肺汤的功用是：泻肺行水，下气平喘。
葶苈大枣泻肺汤的主治是什么,葶苈大枣泻肺汤的主治是：痰水壅实之咳喘胸满。
黄芩泻白散的煎服法是什么,黄芩泻白散的煎服法是：黄芩10g、桑白皮、地骨皮各15g、甘草5g（原著本方无用量）
黄芩泻白散的组成有哪些药物,黄芩泻白散的组成有：水煎服。
黄芩泻白散的功用是什么,黄芩泻白散的功用是：清泻肺热。
黄芩泻白散的主治是什么,黄芩泻白散的主治是：肺经有热。症见喘咳面肿，气逆胸满，小便不利。
黄芩泻白散、葶苈大枣泻肺汤与泻白散如何鉴别使用,葶苈大枣泻肺汤、泻白散与黄芩泻白散均有泻肺之功，用 于肺热喘咳证。但葶苈大枣泻肺汤以葶苈子苦寒泻肺，逐痰行水，佐以 大枣甘温安中，使泻不伤正，适于痰浊壅滞于肺而致之痰喘；泻白散以 甘寒之桑白皮、地骨皮清肺热、泻肺气、平喘咳，佐以炙甘草、粳米养 胃和中，培土生金，适于肺中伏火郁热之喘咳；黄芩泻白散由泻白散去 粳米加黄芩而成，较之泻白散，清火之功盛，而培土之功不足，适于肺 热较盛之喘咳。
泻白散的方论选录是什么,"泻白散的方论选录是：肺气本辛，以辛泻之，遂其欲也。遂其欲当谓之补，而仍云泻者，有平肺之功焉。桑皮、甘草，其气俱薄，不燥不刚，虽泻而无伤于娇脏。……经言：肺苦气上逆，急食苦以泄之。然肺虚气逆，
又非大苦大寒如芩、连、栀、柏辈所宜，故复以地骨皮之苦，泄阴火、退虚热而平肺气……使以甘草、粳米，缓桑、骨二皮于上，以清肺定喘，非谓肺虚而补之以米也。（王子接《绛雪园古方选注》卷中）"
泻白散的医案举例是什么,泻白散的医案举例是：东都张氏孙，九岁，病肺热。他医以犀角、龙麝、生牛黄治之，一月不愈。其症喘嗽，闷乱，饮水不止，全不能食。钱用使君子丸、益黄散，张曰：本有热，何以又行温药。他医用凉药攻之，一月尚未效。钱曰：凉药久则胃寒不能食，小儿虚不能食，当补脾。候饮食如故，即泻肺经，病必愈矣。服补脾药二日，其子欲饮食。钱以泻白散泻肺，遂愈七分。张曰：何以不虚？钱曰：先实其脾，然后泻肺，故不虚也。（《名医类案》卷十二）
泻白散的方歌是什么,泻白散的方歌是：泻白桑皮地骨皮，甘草粳米四般宜，参茯知芩皆可入，肺热喘嗽此方施。
清胃散的用法是什么、怎么煎煮,清胃散的用法是：上药为细末，都作一服，水一盏半，煎至七分，去滓，放冷服之（现代用法：水煎服）。
清胃散的证治机理是什么,清胃散的证治机理是：本证乃胃有积热，循经上攻所致。足阳明胃经循鼻入上齿，手阳明大肠经上项贯颊入下齿，胃中热盛，循经上攻，故牙痛牵引头痛、面颊发热、唇舌腮颊肿痛；胃热上冲，则口气热臭；胃为多气多血之腑，胃热每致血分亦热，血络受伤，故牙宣出血，甚则牙龈溃烂；口干舌燥、舌红苔黄、脉滑数，俱为胃热津伤之候。治宜清胃凉血。
清胃散的方解是什么,"清胃散的方解是：方用苦寒泻火之黄连为君，直折胃腑之热。臣以甘辛微寒之升麻，一取其清热解毒，以治胃火牙痛；一取其轻清升散透发，可宣达郁遏之伏火，取“火郁发之”之意。黄连得升麻，降中寓升，则泻火而
无凉遏之弊；升麻得黄连，则散火而无升焰之虞。臣以丹皮凉血清热。佐以生地凉血滋阴；当归养血活血，合生地滋阴养血，合丹皮消肿止痛。升麻兼以引经为使。诸药合用，共奏清胃凉血之效，以使上炎之火得降，血分之热得除，热毒内彻而解。"
清胃散的配伍特点是什么,清胃散的配伍特点是：苦寒辛散并用，降中有升，火郁发之。
清胃散的运用特点是什么,"清胃散的运用特点是：本方为治疗胃火牙痛之常用方，凡胃热证或胃经血热火郁者均可使用。以牙痛牵引头痛，口气热臭，舌红苔黄，脉滑数为辨证要点。《医方集解》载本方有石膏，其清胃之力更强。
"
清胃散的附方有什么,清胃散的附方有：泻黄散（《小儿药证直诀》，又名泻脾散）：藿香叶七钱（6g）、山栀仁一钱（3g）、石膏五钱（9g）、甘草三两（6g）、防风（去芦，切，焙）四两（9g）。上药物药锉，同蜜、酒微炒香，为细末。每服一至二钱（3～6g），水一盏，煎至五分，温服清汁，无时。功用：泻脾胃伏火。主治：脾胃伏火证。症见口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌等。
泻黄散的煎服法是什么,泻黄散的煎服法是：药物药锉，同蜜、酒微炒香，为细末。每服一至二钱（3～6g），水一盏，煎至五分，温服清汁，无时。
泻黄散的组成有哪些药物,泻黄散的组成有：藿香叶七钱（6g）、山栀仁一钱（3g）、石膏五钱（9g）、甘草三两（6g）、防风（去芦，切，焙）四两（9g）。
泻黄散的功用是什么,泻黄散的功用是：泻脾胃伏火。
泻黄散的主治是什么,泻黄散的主治是：脾胃伏火证。症见口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌等。
泻黄散与清胃散如何鉴别使用,泻黄散与清胃散皆有清胃热之功。泻黄散泻脾胃伏火，主 治脾热弄舌、口疮口臭等；清胃散清胃凉血，主治胃热牙痛，或牙宣出 血、颊腮肿痛者。但前者是清散并用，兼顾脾胃；后者以清胃凉血为 主，兼以升散解毒。
清胃散的方论选录是什么,清胃散的方论选录是：阳明胃多气多血，又两阳合明为热盛，是以邪入而为病常实。若大渴、舌苔、烦躁，此伤气分，热聚胃腑，燥其津液，白虎汤主之。若醇饮肥厚炙煿过用，以致湿热壅于胃腑，逆于经络，而为是病，此伤血分，治宜清胃。方中以生地益阴凉血为君，佐之以丹皮，去蒸而疏其滞；以黄连清热燥湿为臣，佐之以当归，入血而循其经。仍用升麻之辛凉，为本经捷使，引诸药直达血所，则咽喉不清、齿龈肿痛等症，廓然俱清矣。（吴谦《医宗金鉴·删补名医方论》）
清胃散的医案举例是什么,清胃散的医案举例是：柴屿青治满少司农讳兆惠，内阁侍读，同在军机处值宿，患重舌肿痛。问曰：曾服通经散泻火，而病不除，何也？答曰：火有诸经，岂可混治，诛伐无过？幸汝年少，未至大害。诊其右关洪实，胃火特甚。时已薄暮，清胃散一服，而次早霍然。（《续名医类案》卷十八）
清胃散的方歌是什么,清胃散的方歌是：清胃散用升麻连，当归生地牡丹全，或益石膏平胃热，口疮吐衄及牙宣。
玉女煎的用法是什么、怎么煎煮,玉女煎的用法是：药物用水一盅半，煎七分，温服或冷服（现代用法：水煎服）。
玉女煎的证治机理是什么,"玉女煎的证治机理是：本方主治少阴不足，阳明有余之证。阳明气火有余，胃热循经上攻，则见头痛牙痛；热伤胃经血络，则牙龈出血；热耗少阴阴精，故见烦热干渴、舌红苔黄且干。此为火盛水亏相因为病，而以火盛为主。治宜清胃热为主，兼滋肾阴。
"
玉女煎的方解是什么,玉女煎的方解是：方中石膏辛甘大寒，善清阳明胃热而兼生津止渴，故为君药。臣以熟地滋肾水之不足，君臣相伍，清火壮水，虚实兼顾。佐以知母，一助石膏清胃热而止烦渴，一助熟地黄滋少阴而壮肾水；又佐入麦门冬清热养阴生津，既可养肺、助熟地滋肾，寓金水相生之意，又能生津而润胃燥。牛膝引热下行，且补肝肾，为佐使之用。诸药配伍，共奏清胃热、滋肾阴之功。
玉女煎的配伍特点是什么,玉女煎的配伍特点是：甘寒清润合法，胃肾同治，泻实补虚，引热下行。
玉女煎的运用特点是什么,"玉女煎的运用特点是：本方为治疗胃热阴虚牙痛之常用方。以牙痛齿松，烦热干渴，舌红苔黄而干为辨证要点。原方后注“若大便溏泄者，乃非所宜”。
"
清胃散与玉女煎如何鉴别使用,玉女煎与清胃散同治胃热牙痛。但清胃散重在清胃火，以 黄连为君，属苦寒之剂；配伍升麻，意在升散解毒，兼用生地、丹皮等 凉血散瘀之品；功能清胃凉血，主治胃火炽盛之牙痛、牙宣等症。玉女 煎清胃热而滋肾阴，用石膏为君；配伍熟地、知母、麦冬等滋阴之品， 属清润之剂；功能清胃滋肾，主治胃火旺而肾水不足之牙痛及牙宣诸 症。
玉女煎的方论选录是什么,玉女煎的方论选录是：夫人之真阴充足，水火均平，决不致有火盛之病。若肺肾真阴不足，不能濡润于胃，胃汁干枯，一受火邪，则燎原之势而为似白虎之证矣。方中熟地、牛膝以滋肾水；麦冬以保肺金；知母上益肺阴，下滋肾水，能治阳明独胜之火；石膏甘寒质重，独入阳明，清胃中有余之热。虽然理虽如此，而其中熟地一味，若胃火炽盛者，尤宜斟酌用之，即虚火一证，亦宜改用生地为是。（张秉成《成方便读》卷三）
玉女煎的医案举例是什么,玉女煎的医案举例是：甥婿刘桐村，嗜酒成牙痛症，痛则牵引至额以至巅顶，一月数发，痛不可忍。予曰：面额属阳明，牙龈属阳明，齿属肾，厥少阴会于巅顶，此湿热太重，蕴积于胃，兼伤肝肾之阴，以景岳玉女煎加西茵陈三钱，嘱服七剂，且嘱节饮，可以不发。伊一服即愈，因思不能戒酒，不若将此方多服，竟服至二十余剂，后竟永不复发。（《仿寓意草》卷上）
玉女煎的方歌是什么,玉女煎的方歌是：玉女煎中地膝兼，石膏知母麦冬全，阴虚胃火牙疼效，去膝地生温热痊。
芍药汤的用法是什么、怎么煎煮,芍药汤的用法是：药物咀，每服半两（15g），水二盏，煎至一盏，食后温服（现代用法：水煎服）。
芍药汤的证治机理是什么,芍药汤的证治机理是：本证由湿热壅滞肠中，气血失调所致。湿热下注大肠，搏结气血，酿为脓血，而为下痢赤白；肠道气机阻滞则腹痛、里急后重；肛门灼热，小便短赤，舌苔黄腻，脉象弦数等，俱为湿热内蕴之象。治宜清热燥湿，调气和血。
芍药汤的方解是什么,"芍药汤的方解是：方中黄芩、黄连性味苦寒，入大肠经，功擅清热燥湿解毒，以除致病之因，为君药。重用芍药养血和营、缓急止痛，配以当归养血活血，体现“行血则便脓自愈”之义，且可兼顾湿热邪毒熏灼肠络、耗伤气血之虑；木香、槟榔行气导滞，“调气则后重自除”，四药相配，调气和血，是为臣药。大黄苦寒沉降，合芩、连则清热燥湿之功著，合归、芍则活血行气之力彰，其泻下通腑可导湿热积滞从大便而去，乃“通因通用”之法；入少量温热之肉桂，既可助归、芍行血和营，又能制芩、连苦寒之性，共为佐药。炙甘草和中调药，与芍药相配，缓急止痛，用为佐使。诸药合用，湿去热清，气血调和，故下痢可愈。
"
芍药汤的配伍特点是什么,芍药汤的配伍特点是：主以苦燥，辅以甘柔，佐温于寒，气血同调，通因通用。
芍药汤的运用特点是什么,芍药汤的运用特点是：本方为治疗湿热痢疾之常用方。以痢下赤白，腹痛里急，苔腻微黄为辨证要点。原方后注“如血痢，则渐加大黄；如汗后脏毒，加黄柏半两，依前服”，可资临证参佐。
芍药汤的附方有什么,"芍药汤的附方有：1.香连丸（《太平惠民和剂局方》）：黄连（去芦、须）二十两（15g），用茱萸十两（7g）（同炒令赤，去茱萸不用）、木香（不见火）四两八钱八分（6g）。上为细末，醋糊为丸，如梧桐子大。每服二十丸（6～9g），饭饮吞下。功用：清热燥湿，行气化滞。主治：湿热痢疾。症见下痢，赤白相兼，腹痛，里急后重。
2.黄芩汤（《伤寒论》）：黄芩三两（9g）、芍药二两（6g）、甘草炙二两（6g）、大枣擘十二枚（4枚）。上四味，以水一斗，煮取三升，去滓。温服一升，日再，夜一服。功用：清热止利，和中止痛。主治：热泻热痢。症见身热，口苦，腹痛下利，舌红苔黄，脉数。"
香连丸的煎服法是什么,香连丸的煎服法是：药物为细末，醋糊为丸，如梧桐子大。每服二十丸（6～9g），饭饮吞下。
香连丸的组成有哪些药物,香连丸的组成有：黄连（去芦、须）二十两（15g），用茱萸十两（7g）（同炒令赤，去茱萸不用）、木香（不见火）四两八钱八分（6g）。
香连丸的功用是什么,香连丸的功用是：清热燥湿，行气化滞。
香连丸的主治是什么,香连丸的主治是：湿热痢疾。症见下痢，赤白相兼，腹痛，里急后重。
黄芩汤的煎服法是什么,黄芩汤的煎服法是：药物四味，以水一斗，煮取三升，去滓。温服一升，日再，夜一服。
黄芩汤的组成有哪些药物,黄芩汤的组成有：芩三两（9g）、芍药二两（6g）、甘草炙二两（6g）、大枣擘十二枚（4枚）。
黄芩汤的功用是什么,黄芩汤的功用是：清热止利，和中止痛。
黄芩汤的主治是什么,黄芩汤的主治是：热泻热痢。症见身热，口苦，腹痛下利，舌红苔黄，脉数。
黄芩汤、香连丸与芍药汤如何鉴别使用,香连丸、黄芩汤与芍药汤同治湿热痢疾。香连丸以黄连（吴茱萸同炒后去吴茱萸）配木香，以清热燥湿为主，且可行气止痛；黄芩汤以黄芩、芍药配甘草、大枣，意在清热止利、和中止痛，为治热泻热痢之方；芍药汤由黄芩汤去大枣加黄连、当归、木香、槟榔、大黄及肉桂而成，清热燥湿之力更盛，且增调气和血、通因通用之功。
芍药汤的方论选录是什么,"芍药汤的方论选录是：夫痢之为病，固有寒热之分，然热者多而寒者少，总不离邪滞蕴结，以至肠胃之气不宣，酿为脓血稠黏之属。虽有赤、白之分，寒热之别，而初起治法皆可通因通用。故刘河间有云：行血则便脓
自愈，调气则后重自除。二语足为治痢之大法。此方用大黄之荡涤邪滞，木香、槟榔之理气，当归、肉桂之行血。病多因湿热而起，故用芩、连之苦寒，以燥湿清热。用芍药、甘草者，缓其急而和其脾，仿小建中之意，小小建其中气耳。（张秉成《成方便读》卷一）"
芍药汤的医案举例是什么,芍药汤的医案举例是：薛立斋治崔司空，年逾六旬，患痢赤白，里急后重。此湿热壅滞，用芍药汤，内加大黄二钱，一剂减半，又剂痊愈。惟急重未止，此脾气下陷，用补中益气送香连丸而愈。（《续名医类案》卷八）
芍药汤的方歌是什么,芍药汤的方歌是：芍药芩连与锦纹，桂甘槟木及归身，别名导气除甘桂，枳壳加之效若神。
白头翁汤的用法是什么、怎么煎煮,白头翁汤的用法是：药物四味，以水七升，煮取二升，去滓，温服一升，不愈，更服一升（现代用法：水煎服）。
白头翁汤的证治机理是什么,白头翁汤的证治机理是：本证因热毒深陷血分，下迫大肠所致。热毒熏灼肠胃气血，化为脓血，而见下痢脓血、赤多白少；热毒阻滞气机则腹痛、里急后重；渴欲饮水，舌红苔黄，脉弦数，皆为热邪内盛之象。治宜清热解毒，凉血止痢。
白头翁汤的方解是什么,白头翁汤的方解是：方用苦寒而入“阳明血分”之白头翁为君，清热解毒，凉血止痢。黄连泻火解毒，燥湿厚肠，为治痢要药；黄柏清下焦湿热，二者助君药清热解毒、燥湿止痢而为臣。秦皮“苦寒性涩”，清热解毒而兼以收涩止痢，用为佐使。四药合用，共奏清热解毒、凉血止痢之功。
白头翁汤的配伍特点是什么,白头翁汤的配伍特点是：苦寒之中寓凉血之功，清燥之内存收涩之义。
白头翁汤的运用特点是什么,白头翁汤的运用特点是：本方为治疗热毒血痢之常用方。以下痢赤多白少，腹痛，里急后重，舌红苔黄，脉弦数为辨证要点。
白头翁汤的附方有什么,"白头翁汤的附方有：白头翁加甘草阿胶汤（《金匮要略》）：白头翁二两（15g）、黄连、柏皮、秦皮各三两（各9g）、甘草二两（6g）、阿胶二两（6g）。上六味，以水七升，煮取二升半，内胶令消尽，分温三服。功
用：清热解毒，凉血止痢，养血和中。主治：妇人产后血虚热利，心烦不得眠者。"
白头翁加甘草阿胶汤的煎服法是什么,白头翁加甘草阿胶汤的煎服法是：药物六味，以水七升，煮取二升半，内胶令消尽，分温三服。
白头翁加甘草阿胶汤的组成有哪些药物,白头翁加甘草阿胶汤的组成有：白头翁二两（15g）、黄连、柏皮、秦皮各三两（各9g）、甘草二两（6g）、阿胶二两（6g）。
白头翁加甘草阿胶汤的功用是什么,白头翁加甘草阿胶汤的功用是：清热解毒，凉血止痢，养血和中。
白头翁加甘草阿胶汤的主治是什么,白头翁加甘草阿胶汤的主治是：妇人产后血虚热利，心烦不得眠者。
白头翁加甘草阿胶汤与白头翁汤如何鉴别使用,白头翁汤及白头翁加甘草阿胶汤均可治热痢。白头翁汤偏 于清热燥湿，适用于热毒血痢之实证；白头翁加甘草阿胶汤尚有养血和 中之功，用于妇人产后或营血亏虚之热痢。 白头翁汤与芍药汤同为治痢之方。但白头翁汤主治热毒血痢，乃热 毒深陷血分，功能清热解毒、凉血止痢，使热毒解、痢止而后重自除； 芍药汤治下痢赤白，属湿热痢，而兼气血失调证，治以清热燥湿与调和 气血并进，且取“通因通用”之法，使“行血则便脓自愈，调气则后重自除”。
白头翁汤的方论选录是什么,白头翁汤的方论选录是：此足阳明、少阴、厥阴药也。白头翁苦寒，能入阳明血分，而凉血止澼；秦皮苦寒性涩，能凉肝益肾而固下焦；黄连凉心清肝，黄柏泻火补水，并能燥湿止利而厚肠，取其寒能胜热，苦能坚肾，涩能断下也。（汪昂《医方集解·泻火之剂》）
白头翁汤的医案举例是什么,白头翁汤的医案举例是：（二诊） 昨投药后，诸恙不减，而反烦躁不寐，舌红绛，苔糙黑无津，脉弦数。伏温化热，由阳明而传于厥、少二阴。厥阴为藏血之经，内寄相火，厥阴有热，则血溢沸腾，而下迫大肠，则为血痢；少阴为水火之脏，水亏火无所济，津液愈伤，神被热扰，则烦躁而不寐也。身热晚甚者，阳明旺于申酉。阳明之温热炽盛也，温已化热伤阴，少火悉成壮火，大有吸尽西江之势！急拟黄连阿胶汤，滋少阴之阴；白头翁汤，清厥阴之热；银翘、花粉，解阳明之温。复方图治，犹兵家之总攻击也。勇往前进，以冀弋获。（《丁甘仁医案》卷二）
白头翁汤的方歌是什么,"白头翁汤的方歌是：白头翁汤治热痢，黄连黄柏佐秦皮，清热解毒并凉血，赤多白少脓血医。
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
